Group,Category,Item
Preparation,To Do,Add Suica to iPhone
Preparation,To Do,International Driving Permit
Packing List,Essentials,Passport
Packing List,Essentials,Debit/Credit Card w/ Cash Withdrawal £250-300
Packing List,Essentials,phone
Packing List,Clothing (at least 4 days worth),Underwear x4
Packing List,Clothing (at least 4 days worth),T-shirts x3 (Synthetic/Wool recommended)
Packing List,Clothing (at least 4 days worth),Long-sleeve Shirt x1
Packing List,Clothing (at least 4 days worth),Collared Shirt x1
Packing List,Clothing (at least 4 days worth),Trousers x2 (Active + Smart Casual)
Packing List,Other Gear,Swimwear
Packing List,Other Gear,Down Jacket (Compact. Can buy locally from uniqlo/ montbell)
Packing List,Other Gear,Shell Jacket (as above)
Packing List,Other Gear,Fleece (as above)
Packing List,Toiletries,Toothbrush & Toothpaste
Packing List,Toiletries,Shaver
Packing List,Toiletries,Handkerchief
Packing List,Toiletries,Small Bath Towel
Packing List,Electronics,Charger (100V compatible)
Not Needed,Buy Locally,Pajamas
Not Needed,Buy Locally,Shampoo & Conditioner
,,
,,
,,
